Freq(Hz),SPL_L(dB),Phase_L(degrees),SPL_R(dB),Phase_R(degrees)
145.013,71.495,8.808,63.619,0.945
145.349,71.498,8.808,63.619,0.932
145.686,71.501,8.807,63.619,0.921
146.022,71.503,8.807,63.620,0.911
146.358,71.506,8.808,63.620,0.904
146.695,71.508,8.809,63.621,0.896
147.031,71.511,8.811,63.622,0.886
147.368,71.514,8.815,63.623,0.875
147.704,71.517,8.818,63.624,0.861
148.041,71.520,8.820,63.624,0.846
148.377,71.523,8.819,63.624,0.833
148.714,71.526,8.817,63.624,0.823
149.050,71.529,8.815,63.624,0.815
149.387,71.532,8.813,63.624,0.809
149.723,71.534,8.814,63.625,0.803
150.060,71.536,8.816,63.626,0.795
150.396,71.539,8.819,63.626,0.785
150.732,71.542,8.823,63.627,0.773
151.069,71.545,8.825,63.627,0.763
151.405,71.548,8.825,63.627,0.755
151.742,71.551,8.825,63.627,0.750
152.078,71.554,8.823,63.627,0.746
152.415,71.557,8.821,63.628,0.742
152.751,71.559,8.819,63.629,0.735
153.088,71.562,8.819,63.630,0.725
153.424,71.564,8.819,63.631,0.713
153.761,71.567,8.821,63.632,0.701
154.097,71.569,8.823,63.632,0.689
154.433,71.572,8.825,63.632,0.678
154.770,71.575,8.826,63.632,0.667
155.106,71.577,8.826,63.632,0.657
155.443,71.580,8.826,63.632,0.648
155.779,71.583,8.826,63.632,0.639
156.116,71.585,8.827,63.632,0.631
156.452,71.588,8.828,63.632,0.625
156.789,71.591,8.828,63.632,0.620
157.125,71.594,8.825,63.633,0.614
157.462,71.597,8.822,63.634,0.607
157.798,71.599,8.818,63.635,0.596
158.134,71.601,8.815,63.636,0.583
158.471,71.603,8.815,63.637,0.567
158.807,71.606,8.817,63.637,0.551
159.144,71.608,8.820,63.637,0.537
159.480,71.611,8.822,63.636,0.527
159.817,71.614,8.822,63.635,0.520
160.153,71.617,8.821,63.635,0.516
160.490,71.620,8.818,63.636,0.513
160.826,71.623,8.816,63.637,0.507
161.163,71.625,8.813,63.638,0.497
161.499,71.628,8.811,63.639,0.484
161.835,71.630,8.809,63.639,0.469
162.172,71.632,8.807,63.639,0.457
162.508,71.635,8.807,63.638,0.448
162.845,71.637,8.809,63.638,0.442
163.181,71.640,8.810,63.639,0.437
163.518,71.643,8.812,63.639,0.430
163.854,71.646,8.812,63.640,0.419
164.191,71.649,8.810,63.641,0.407
164.527,71.652,8.806,63.641,0.394
164.864,71.654,8.803,63.640,0.383
165.200,71.656,8.800,63.640,0.375
165.536,71.659,8.799,63.640,0.370
165.873,71.661,8.800,63.640,0.365
166.209,71.663,8.801,63.641,0.359
166.546,71.666,8.803,63.642,0.349
166.882,71.669,8.803,63.642,0.338
167.219,71.671,8.803,63.642,0.326
167.555,71.674,8.801,63.642,0.315
167.892,71.677,8.799,63.642,0.307
168.228,71.679,8.798,63.642,0.301
168.565,71.682,8.797,63.642,0.294
168.901,71.684,8.797,63.642,0.287
169.238,71.687,8.797,63.643,0.277
169.574,71.689,8.796,63.643,0.266
169.910,71.692,8.794,63.643,0.254
170.247,71.695,8.791,63.643,0.243
170.583,71.697,8.788,63.643,0.234
170.920,71.699,8.786,63.643,0.226
171.256,71.702,8.783,63.643,0.219
171.593,71.704,8.781,63.643,0.212
171.929,71.706,8.778,63.644,0.204
172.266,71.709,8.775,63.644,0.195
172.602,71.711,8.772,63.645,0.186
172.939,71.713,8.770,63.645,0.176
173.275,71.714,8.771,63.645,0.165
173.611,71.717,8.774,63.645,0.156
173.948,71.719,8.777,63.645,0.146
174.284,71.722,8.777,63.646,0.138
174.621,71.725,8.774,63.646,0.130
174.957,71.728,8.769,63.646,0.122
175.294,71.730,8.765,63.646,0.114
175.630,71.731,8.763,63.646,0.106
175.967,71.733,8.765,63.646,0.097
176.303,71.735,8.769,63.646,0.088
176.640,71.738,8.774,63.646,0.080
176.976,71.742,8.774,63.646,0.073
177.312,71.745,8.771,63.645,0.067
177.649,71.748,8.764,63.646,0.061
177.985,71.751,8.756,63.646,0.055
178.322,71.753,8.750,63.647,0.045
178.658,71.755,8.746,63.647,0.033
178.995,71.757,8.743,63.647,0.019
179.331,71.759,8.741,63.646,0.007
179.668,71.761,8.738,63.645,-0.002
180.004,71.764,8.734,63.645,-0.007
180.341,71.766,8.730,63.644,-0.008
180.677,71.768,8.728,63.645,-0.009
181.013,71.770,8.726,63.646,-0.014
181.350,71.772,8.726,63.647,-0.024
181.686,71.774,8.726,63.648,-0.040
182.023,71.777,8.725,63.648,-0.057
182.359,71.779,8.723,63.648,-0.073
182.696,71.781,8.722,63.647,-0.084
183.032,71.784,8.722,63.646,-0.090
183.369,71.786,8.723,63.645,-0.093
183.705,71.789,8.723,63.646,-0.097
184.042,71.792,8.720,63.646,-0.104
184.378,71.795,8.715,63.647,-0.114
184.715,71.798,8.708,63.647,-0.126
185.051,71.800,8.701,63.647,-0.136
185.387,71.801,8.697,63.646,-0.144
185.724,71.803,8.695,63.646,-0.149
186.060,71.805,8.695,63.646,-0.153
186.397,71.807,8.695,63.646,-0.158
186.733,71.809,8.693,63.647,-0.166
187.070,71.812,8.690,63.647,-0.177
187.406,71.814,8.686,63.647,-0.187
187.743,71.816,8.682,63.647,-0.197
188.079,71.817,8.681,63.646,-0.203
188.416,71.819,8.680,63.646,-0.209
188.752,71.821,8.680,63.647,-0.215
189.088,71.824,8.679,63.647,-0.223
189.425,71.826,8.677,63.647,-0.234
189.761,71.829,8.674,63.647,-0.244
190.098,71.831,8.670,63.647,-0.254
190.434,71.833,8.667,63.646,-0.262
190.771,71.835,8.665,63.646,-0.269
191.107,71.837,8.662,63.646,-0.276
191.444,71.840,8.660,63.646,-0.285
191.780,71.842,8.657,63.646,-0.296
192.117,71.845,8.653,63.646,-0.307
192.453,71.847,8.648,63.645,-0.317
192.789,71.850,8.642,63.645,-0.323
193.126,71.852,8.636,63.645,-0.329
193.462,71.853,8.630,63.645,-0.334
193.799,71.855,8.626,63.645,-0.340
194.135,71.857,8.624,63.645,-0.349
194.472,71.859,8.622,63.645,-0.359
194.808,71.860,8.622,63.645,-0.370
195.145,71.862,8.621,63.645,-0.380
195.481,71.865,8.620,63.644,-0.389
195.818,71.867,8.618,63.644,-0.397
196.154,71.869,8.616,63.643,-0.403
196.490,71.871,8.614,63.643,-0.409
196.827,71.873,8.612,63.643,-0.413
197.163,71.876,8.609,63.643,-0.418
197.500,71.878,8.605,63.643,-0.423
197.836,71.880,8.600,63.643,-0.431
198.173,71.882,8.596,63.643,-0.440
198.509,71.884,8.592,63.643,-0.451
198.846,71.885,8.589,63.643,-0.461
199.182,71.887,8.587,63.643,-0.469
199.519,71.889,8.584,63.642,-0.477
199.855,71.892,8.582,63.642,-0.484
200.191,71.894,8.579,63.643,-0.493
200.528,71.896,8.575,63.642,-0.504
200.864,71.898,8.570,63.642,-0.515
201.201,71.901,8.565,63.642,-0.525
201.537,71.903,8.559,63.641,-0.533
201.874,71.905,8.554,63.640,-0.539
202.210,71.906,8.550,63.640,-0.544
202.547,71.908,8.547,63.640,-0.549
202.883,71.910,8.546,63.640,-0.556
203.220,71.911,8.547,63.640,-0.565
203.556,71.914,8.548,63.640,-0.574
203.893,71.916,8.547,63.640,-0.583
204.229,71.919,8.544,63.640,-0.591
204.565,71.921,8.540,63.640,-0.598
204.902,71.923,8.535,63.639,-0.606
205.238,71.925,8.530,63.639,-0.614
205.575,71.926,8.527,63.639,-0.623
205.911,71.928,8.526,63.638,-0.630
206.248,71.930,8.526,63.638,-0.635
206.584,71.932,8.525,63.637,-0.640
206.921,71.934,8.523,63.637,-0.644
207.257,71.937,8.518,63.637,-0.648
207.594,71.939,8.512,63.637,-0.655
207.930,71.940,8.506,63.637,-0.663
208.266,71.942,8.501,63.637,-0.671
208.603,71.943,8.498,63.637,-0.679
208.939,71.945,8.496,63.636,-0.685
209.276,71.947,8.494,63.636,-0.690
209.612,71.949,8.491,63.636,-0.695
209.949,71.951,8.487,63.636,-0.700
210.285,71.953,8.481,63.636,-0.708
210.622,71.955,8.475,63.636,-0.717
210.958,71.957,8.471,63.636,-0.726
211.295,71.959,8.467,63.635,-0.736
211.631,71.961,8.463,63.635,-0.745
211.967,71.963,8.458,63.634,-0.752
212.304,71.965,8.452,63.633,-0.758
212.640,71.967,8.446,63.633,-0.764
212.977,71.968,8.442,63.633,-0.769
213.313,71.970,8.440,63.633,-0.775
213.650,71.972,8.440,63.633,-0.783
213.986,71.974,8.441,63.633,-0.792
214.323,71.976,8.440,63.633,-0.804
214.659,71.979,8.437,63.632,-0.816
214.996,71.981,8.432,63.632,-0.826
215.332,71.983,8.426,63.631,-0.834
215.668,71.985,8.420,63.630,-0.839
216.005,71.987,8.415,63.629,-0.842
216.341,71.989,8.411,63.629,-0.845
216.678,71.990,8.408,63.630,-0.852
217.014,71.992,8.405,63.630,-0.862
217.351,71.994,8.402,63.630,-0.873
217.687,71.996,8.399,63.629,-0.884
218.024,71.997,8.396,63.628,-0.893
218.360,71.999,8.392,63.627,-0.897
218.697,72.001,8.388,63.627,-0.900
219.033,72.003,8.383,63.627,-0.902
219.370,72.004,8.379,63.627,-0.907
219.706,72.006,8.376,63.627,-0.914
220.042,72.007,8.374,63.627,-0.923
220.379,72.009,8.372,63.626,-0.930
220.715,72.011,8.369,63.626,-0.936
221.052,72.013,8.364,63.626,-0.940
221.388,72.015,8.359,63.626,-0.945
221.725,72.016,8.354,63.626,-0.951
222.061,72.018,8.350,63.626,-0.959
222.398,72.019,8.347,63.626,-0.969
222.734,72.021,8.345,63.625,-0.979
223.071,72.023,8.343,63.625,-0.987
223.407,72.025,8.340,63.624,-0.994
223.743,72.027,8.335,63.623,-0.999
224.080,72.028,8.330,63.623,-1.004
224.416,72.030,8.325,63.623,-1.010
224.753,72.031,8.323,63.622,-1.017
225.089,72.033,8.322,63.622,-1.024
225.426,72.035,8.321,63.622,-1.033
225.762,72.037,8.318,63.621,-1.041
226.099,72.040,8.313,63.620,-1.049
226.435,72.042,8.306,63.620,-1.056
226.772,72.044,8.299,63.619,-1.062
227.108,72.045,8.291,63.619,-1.067
227.444,72.046,8.286,63.618,-1.073
227.781,72.048,8.282,63.618,-1.079
228.117,72.049,8.279,63.618,-1.085
228.454,72.051,8.277,63.618,-1.091
228.790,72.053,8.274,63.618,-1.098
229.127,72.055,8.270,63.617,-1.104
229.463,72.057,8.264,63.617,-1.111
229.800,72.059,8.258,63.617,-1.118
230.136,72.061,8.251,63.617,-1.126
230.473,72.062,8.244,63.617,-1.133
230.809,72.064,8.238,63.616,-1.140
231.145,72.065,8.234,63.616,-1.145
231.482,72.067,8.231,63.615,-1.150
231.818,72.068,8.228,63.615,-1.154
232.155,72.070,8.226,63.615,-1.159
232.491,72.072,8.223,63.615,-1.165
232.828,72.074,8.219,63.615,-1.173
233.164,72.076,8.213,63.614,-1.182
233.501,72.078,8.207,63.614,-1.190
233.837,72.079,8.202,63.613,-1.196
234.174,72.080,8.197,63.612,-1.200
234.510,72.082,8.193,63.612,-1.204
234.846,72.083,8.191,63.612,-1.210
235.183,72.085,8.188,63.612,-1.218
235.519,72.087,8.185,63.611,-1.227
235.856,72.088,8.181,63.610,-1.236
236.192,72.090,8.177,63.609,-1.244
236.529,72.092,8.173,63.608,-1.248
236.865,72.093,8.169,63.607,-1.250
237.202,72.095,8.165,63.607,-1.251
237.538,72.096,8.161,63.607,-1.254
237.875,72.098,8.158,63.607,-1.259
238.211,72.099,8.155,63.607,-1.266
238.548,72.101,8.152,63.607,-1.273
238.884,72.103,8.148,63.607,-1.280
239.220,72.105,8.145,63.607,-1.285
239.557,72.106,8.142,63.607,-1.289
239.893,72.108,8.138,63.607,-1.295
240.230,72.110,8.133,63.607,-1.302
240.566,72.112,8.128,63.606,-1.310
240.903,72.114,8.122,63.606,-1.317
241.239,72.116,8.114,63.605,-1.323
241.576,72.118,8.106,63.605,-1.328
241.912,72.119,8.098,63.604,-1.332
242.249,72.120,8.093,63.604,-1.335
242.585,72.121,8.090,63.604,-1.339
242.921,72.122,8.089,63.604,-1.344
243.258,72.123,8.089,63.603,-1.351
243.594,72.125,8.088,63.603,-1.359
243.931,72.127,8.084,63.603,-1.367
244.267,72.129,8.079,63.602,-1.375
244.604,72.130,8.073,63.601,-1.381
244.940,72.131,8.068,63.600,-1.387
245.277,72.132,8.064,63.599,-1.391
245.613,72.134,8.060,63.599,-1.395
245.950,72.135,8.057,63.598,-1.400
246.286,72.137,8.052,63.598,-1.407
246.622,72.138,8.046,63.598,-1.415
246.959,72.139,8.040,63.597,-1.424
247.295,72.140,8.035,63.597,-1.432
247.632,72.141,8.031,63.596,-1.439
247.968,72.142,8.029,63.595,-1.443
248.305,72.144,8.028,63.594,-1.446
248.641,72.145,8.026,63.593,-1.448
