Frequency (Hz),Magnitude (dB),
1396.966553,-1.864310,
1398.312378,-1.869238,
1399.658203,-1.874409,
1401.004028,-1.879514,
1402.349854,-1.884856,
1403.695679,-1.890126,
1405.041504,-1.895630,
1406.387329,-1.901054,
1407.733154,-1.906700,
1409.078979,-1.912262,
1410.424805,-1.918040,
1411.770630,-1.923728,
1413.116455,-1.929630,
1414.462280,-1.935426,
1415.808105,-1.941435,
1417.153931,-1.947332,
1418.499756,-1.953436,
1419.845581,-1.959423,
1421.191406,-1.965607,
1422.537231,-1.971668,
1423.883057,-1.977924,
1425.228882,-1.984047,
1426.574707,-1.990364,
1427.920532,-1.996538,
1429.266357,-2.002901,
1430.612183,-2.009119,
1431.958008,-2.015516,
1433.303833,-2.021767,
1434.649658,-2.028194,
1435.995483,-2.034464,
1437.341309,-2.040909,
1438.687134,-2.047192,
1440.032959,-2.053644,
1441.378784,-2.059929,
1442.724609,-2.066384,
1444.070435,-2.072664,
1445.416260,-2.079108,
1446.762085,-2.085375,
1448.107910,-2.091805,
1449.453735,-2.098052,
1450.799561,-2.104459,
1452.145386,-2.110678,
1453.491211,-2.117057,
1454.837036,-2.123244,
1456.182861,-2.129587,
1457.528687,-2.135734,
1458.874512,-2.142036,
1460.220337,-2.148140,
1461.566162,-2.154396,
1462.911987,-2.160452,
1464.257812,-2.166657,
1465.603638,-2.172659,
1466.949463,-2.178809,
1468.295288,-2.184757,
1469.641113,-2.190847,
1470.986938,-2.196732,
1472.332764,-2.202761,
1473.678589,-2.208582,
1475.024414,-2.214549,
1476.370239,-2.220303,
1477.716064,-2.226202,
1479.061890,-2.231887,
1480.407715,-2.237714,
1481.753540,-2.243328,
1483.099365,-2.249086,
1484.445190,-2.254625,
1485.791016,-2.260307,
1487.136841,-2.265773,
1488.482666,-2.271380,
1489.828491,-2.276771,
1491.174316,-2.282303,
1492.520142,-2.287615,
1493.865967,-2.293069,
1495.211792,-2.298304,
1496.557617,-2.303679,
1497.903442,-2.308836,
1499.249268,-2.314134,
1500.595093,-2.319210,
1501.940918,-2.324429,
1503.286743,-2.329427,
1504.632568,-2.334565,
1505.978394,-2.339483,
1507.324219,-2.344544,
1508.670044,-2.349383,
1510.015869,-2.354363,
1511.361694,-2.359123,
1512.707520,-2.364025,
1514.053345,-2.368706,
1515.399170,-2.373530,
1516.744995,-2.378130,
1518.090820,-2.382876,
1519.436646,-2.387401,
1520.782471,-2.392067,
1522.128296,-2.396514,
1523.474121,-2.401105,
1524.819946,-2.405474,
1526.165771,-2.409988,
