* Freq(Hz), SPL(dB), Phase(degrees)
226.504, -5.024, 9.593
226.870, -5.022, 9.591
227.236, -5.020, 9.589
227.603, -5.018, 9.586
227.969, -5.016, 9.584
228.335, -5.014, 9.582
228.701, -5.012, 9.580
229.068, -5.010, 9.578
229.434, -5.008, 9.576
229.800, -5.006, 9.573
230.166, -5.004, 9.571
230.532, -5.002, 9.569
230.899, -5.000, 9.567
231.265, -4.998, 9.564
231.631, -4.996, 9.562
231.997, -4.994, 9.560
232.363, -4.992, 9.557
232.730, -4.990, 9.555
233.096, -4.988, 9.553
233.462, -4.986, 9.550
233.828, -4.984, 9.548
234.195, -4.982, 9.546
234.561, -4.980, 9.543
234.927, -4.978, 9.541
235.293, -4.976, 9.539
235.659, -4.974, 9.536
236.026, -4.973, 9.534
236.392, -4.971, 9.531
236.758, -4.969, 9.529
237.124, -4.967, 9.527
237.490, -4.965, 9.524
237.857, -4.963, 9.522
238.223, -4.961, 9.519
238.589, -4.959, 9.517
238.955, -4.957, 9.514
239.322, -4.956, 9.512
239.688, -4.954, 9.510
240.054, -4.952, 9.508
240.420, -4.950, 9.505
240.786, -4.948, 9.503
241.153, -4.946, 9.500
241.519, -4.944, 9.497
241.885, -4.942, 9.494
242.251, -4.941, 9.492
242.618, -4.939, 9.489
242.984, -4.937, 9.487
243.350, -4.935, 9.484
243.716, -4.933, 9.481
244.082, -4.931, 9.479
244.449, -4.930, 9.476
244.815, -4.928, 9.473
245.181, -4.926, 9.471
245.547, -4.924, 9.468
245.913, -4.922, 9.465
246.280, -4.920, 9.463
246.646, -4.919, 9.460
247.012, -4.917, 9.458
247.378, -4.915, 9.455
247.745, -4.913, 9.452
248.111, -4.911, 9.449
248.477, -4.910, 9.447
248.843, -4.908, 9.444
249.209, -4.906, 9.442
249.576, -4.904, 9.439
249.942, -4.903, 9.436
250.308, -4.901, 9.433
250.674, -4.899, 9.430
251.040, -4.897, 9.428
251.407, -4.896, 9.425
251.773, -4.894, 9.422
252.139, -4.892, 9.420
252.505, -4.890, 9.417
252.872, -4.889, 9.414
253.238, -4.887, 9.411
253.604, -4.885, 9.408
253.970, -4.884, 9.405
254.336, -4.882, 9.403
254.703, -4.880, 9.400
255.069, -4.878, 9.397
255.435, -4.877, 9.394
255.801, -4.875, 9.392
256.167, -4.873, 9.389
256.534, -4.872, 9.386
256.900, -4.870, 9.383
257.266, -4.868, 9.380
257.632, -4.867, 9.377
257.999, -4.865, 9.374
258.365, -4.863, 9.371
258.731, -4.862, 9.368
259.097, -4.860, 9.365
259.463, -4.858, 9.363
259.830, -4.857, 9.360
260.196, -4.855, 9.357
260.562, -4.853, 9.354
260.928, -4.852, 9.351
